Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,Unnamed: 6
0302.36.00,,,Southern bluefin tunas (Thunnus maccoyii),Free,Free,
,10B,kg,Whole,,,
,12J,kg,Headed and gutted,,,
,29C,kg,Other,,,
0302.39.00,,,Other,Free,Free,
,07F,kg,Whole,,,
,13L,kg,Headed and gutted,,,
,49A,kg,Other,,,
,,,"Fish, fresh or chilled, excluding fish fillets, etc.—continued",,,
,,,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.),",,,
,,,"sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.),",,,
,,,"brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus,",,,
,,,"Scomber australasicus, Scomber japonicus), Indian mackerels",,,
,,,"(Rastrelliger spp.), seerfishes (Scomberomorus spp.) jack and horse",,,
,,,"mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia",,,
,,,"(Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury",,,
,,,"(Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus),",,,
,,,"swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos",,,
,,,"(Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding",,,
,,,"edible fish offal of Tariff items 0302.91.00, 0302.92.00 or 0302.99.00:",,,
0302.41.00,,,"Herrings (Clupea harengus, Clupea pallasii)",Free,Free,
,10C,kg,Whole,,,
,15D,kg,Headed and gutted,,,
,29D,kg,Other,,,
0302.42.00,,,Anchovies (Engraulis spp.),Free,Free,
,10H,kg,Whole,,,
,15J,kg,Headed and gutted,,,
,29J,kg,Other,,,
0302.43.00,,,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.),",,,
,,,brisling or sprats (Sprattus sprattus),Free,Free,
,10B,kg,Whole,,,
,15C,kg,Headed and gutted,,,
,29C,kg,Other,,,
0302.44.00,,,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",Free,Free,
,10G,kg,Whole,,,
,15H,kg,Headed and gutted,,,
,29H,kg,Other,,,
0302.45.00,,,Jack and horse mackerel (Trachurus spp.),Free,Free,
,10A,kg,Whole,,,
,15B,kg,Headed and gutted,,,
,29B,kg,Other,,,
0302.46.00,,,Cobia (Rachycentron canadum),Free,Free,
,10F,kg,Whole,,,
,15G,kg,Headed and gutted,,,
,29G,kg,Other,,,
0302.47.00,,,Swordfish (Xiphias gladius),Free,Free,
,10L,kg,Whole,,,
,15A,kg,Headed and gutted,,,
,29A,kg,Other,,,
0302.49.00,,,Other,Free,Free,
,10K,kg,Whole,,,
,15L,kg,Headed and gutted,,,
,19C,kg,Other,,,
,,," Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae,",,,
,,,"Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,",,,
,,,"excluding edible fish offal of Tariff items 0302.91.00, 0302.92.00",,,
,,,or 0302.99.00:,,,
0302.51.00,,,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",Free,Free,
,10G,kg,Whole,,,
,15H,kg,Headed and gutted,,,
,29H,kg,Other,,,
0302.52.00,,,Haddock (Melanogrammus aeglefinus),Free,Free,
,10A,kg,Whole,,,
,15B,kg,Headed and gutted,,,
,29B,kg,Other,,,
0302.53.00,,,Coalfish (Pollachius virens),Free,Free,
,10F,kg,Whole,,,
,15G,kg,Headed and gutted,,,
,29G,kg,Other,,,
0302.54.00,,,"Hake (Merluccius spp., Urophycis spp.)",Free,Free,
,10L,kg,Whole,,,
,15A,kg,Headed and gutted,,,
,29A,kg,Other,,,
0302.55.00,,,Alaska Pollock (Theragra chalcogramma),Free,Free,
,10E,kg,Whole,,,
,15F,kg,Headed and gutted,,,
,29F,kg,Other,,,
,,,"Fish, fresh or chilled, excluding fish fillets, etc.—continued",,,
,,," Fish of the families Bregmacerotidae, Euclichthyidae, etc.—continued",,,
0302.56.00,,,"Blue whitings (Micromesistius poutassou, Micromesistius australis)",Free,Free,
,10K,kg,Whole,,,
,15L,kg,Headed and gutted,,,
,29L,kg,Other,,,
0302.59.00,,,Other,Free,Free,
,10C,kg,Whole,,,
,15D,kg,Headed and gutted,,,
,29D,kg,Other,,,
,,," Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp.,",,,
,,,"Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp.,",,,
,,,"Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp.,",,,
,,,"Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti,",,,
,,,"Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch",,,
,,,"(Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal",,,
,,,"of Tariff items 0302.91.00, 0302.92.00 or 0302.99.00:",,,
0302.71.00,,,Tilapias (Oreochromis spp.),Free,Free,
,10D,kg,Whole,,,
,15E,kg,Headed and gutted,,,
,29E,kg,Other,,,
0302.72.00,,,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Free,Free,
,10J,kg,Whole,,,
,15K,kg,Headed and gutted,,,
,29K,kg,Other,,,
0302.73.00,,,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,",,,
,,,"Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus,",,,
,,,"Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni,",,,
,,,Megalobrama spp.),Free,Free,
,11A,kg,Whole,,,
,17L,kg,Headed and gutted,,,
,29D,kg,Other,,,
0302.74.00,,,Eels (Anguilla spp.),Free,Free,
,10H,kg,Whole,,,
,15J,kg,Headed and gutted,,,
,29J,kg,Other,,,
0302.79.00,,,Other,Free,Free,
,10L,kg,Whole,,,
,15A,kg,Headed and gutted,,,
,29A,kg,Other,,,
,,,"Other fish, excluding edible fish offal of Tariff items",,,
,,,"0302.91.00, 0302.92.00 or 0302.99.00:",,,
0302.81.00,,,Dogfish and other sharks,Free,Free,
,10H,kg,Whole,,,
,15J,kg,Headed and gutted,,,
,29J,kg,Other,,,
0302.82.00,,,Rays and skates (Rajidae),Free,Free,
,10B,kg,Whole,,,
,15C,kg,Headed and gutted,,,
,29C,kg,Other,,,
0302.83.00,,,Toothfish (Dissostichus spp.),Free,Free,
,,,Whole:,,,
,10G,kg,Antarctic Toothfish (Dissostichus mawsoni),,,
,15H,kg,Patagonian Toothfish (Dissostichus eleginoides),,,
,17D,kg,Other,,,
,,,Headed and gutted:,,,
,20D,kg,Antarctic Toothfish (Dissostichus mawsoni),,,
,25E,kg,Patagonian Toothfish (Dissostichus eleginoides),,,
,27A,kg,Other,,,
,,,Other:,,,
,32H,kg,Antarctic Toothfish (Dissostichus mawsoni),,,
,36L,kg,Patagonian Toothfish (Dissostichus eleginoides),,,
,49B,kg,Other,,,
0302.84.00,,,Seabass (Dicentrarchus spp.),Free,Free,
,10A,kg,Whole,,,
,15B,kg,Headed and gutted,,,
,29B,kg,Other,,,
,,,"Fish, fresh or chilled, excluding fish fillets, etc.—continued",,,
,,,"Other fish, excluding edible fish offal, etc.—continued",,,
0302.85.00,,,Seabream (Sparidae),Free,Free,
,,,Whole:,,,
,10F,kg,Snapper,,,
,19K,kg,Other,,,
,,,Headed and gutted:,,,
,21A,kg,Snapper,,,
,29G,kg,Other,,,
,,,Other:,,,
,33E,kg,Snapper,,,
,49A,kg,Other,,,
302.89,,,Other:,,,
0302.89.10,,,Whole,Free,Free,
,10K,kg,Bluenose,,,
,15L,kg,Groper,,,
,19C,kg,Gurnard,,,
,25H,kg,John dory,,,
,29L,kg,Leatherjacket,,,
,35E,kg,Monkfish,,,
,39H,kg,Mullet,,,
,49E,kg,Tarakihi,,,
,55K,kg,Trevally,,,
,59B,kg,Whitebait,,,
,65G,kg,Yellowtail kingfish,,,
,79G,kg,Other,,,
0302.89.20,,,Headed and gutted,Free,Free,
,10E,kg,Bluenose,,,
,15F,kg,Groper,,,
,19J,kg,Gurnard,,,
,25C,kg,John dory,,,
,29F,kg,Leatherjacket,,,
,35L,kg,Monkfish,,,
,39C,kg,Mullet,,,
,49L,kg,Tarakihi,,,
,55E,kg,Trevally,,,
,59H,kg,Yellowtail kingfish,,,
,79B,kg,Other,,,
0302.89.90,,,Other,Free,Free,
,11A,kg,Bluenose,,,
,13H,kg,Groper,,,
,17L,kg,Gurnard,,,
,21J,kg,John Dory,,,
,23E,kg,Leatherjacket,,,
,27H,kg,Monkfish,,,
,31F,kg,Mullet,,,
,33B,kg,Tarakihi,,,
,37E,kg,Trevally,,,
,41C,kg,Yellowtail kingfish,,,
,79L,kg,Other,,,
,,,"Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal:",,,
0302.91.00,,,"Livers, roes and milt",Free,Free,
,10A,kg,Livers and roes of salmonidae,,,
,19E,kg,Other,,,
0302.92.00,00J,kg,Shark fins,Free,Free,
0302.99.00,00L,kg,Other,Free,Free,
3.03,,,"Fish, frozen, excluding fish fillets and other fish meat of heading 03.04:",,,
,,,"Salmonidae, excluding edible fish offal of Tariff items 0303.91.00,",,,
,,,"0303.92.00, or 0303.99.00:",,,
0303.11.00,,,Sockeye salmon (red salmon) (Oncorhynchus nerka),Free,Free,
,10L,kg,Whole,,,
,12G,kg,Headed and gutted,,,
,29A,kg,Other,,,
0303.12.00,,,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta,",,,
,,,"Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus",,,
,,,masou and Oncorhynchus rhodurus),Free,Free,
,10E,kg,Whole,,,
,15F,kg,Headed and gutted,,,
,29F,kg,Other,,,
,,,"Fish, frozen, excluding fish fillets and other fish meat, etc.—continued",,,
,,,"Salmonidae, excluding edible fish offal of Tariff items, etc.—continued",,,
0303.13.00,,,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),Free,Free,
,10K,kg,Whole,,,
,15L,kg,Headed and gutted,,,
,29L,kg,Other,,,
0303.14.00,,,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki,",,,
,,,"Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus",,,
,,,apache and Oncorhynchus chrysogaster),Free,Free,
,,,"Trout (Salmo trutta, Salmo gairdneri, Salmo clarki, Salmo aquabonita,",,,
,,,Salmo gilae):,,,
,10D,kg,Whole,,,
,15E,kg,Headed and gutted,,,
,18K,kg,Other,,,
,,,Other:,,,
,25B,kg,Whole,,,
,29E,kg,Headed and gutted,,,
,49K,kg,Other,,,
0303.19.00,,,Other,Free,Free,
,11E,kg,Whole,,,
,15H,kg,Headed and gutted,,,
,39E,kg,Other,,,
,,," Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp.,",,,
,,,"Clarias spp., Ictalurus spp.), carp (cyprinus spp., Carassius spp.,",,,
,,,"Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp.,",,,
,,,"Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti,",,,
,,,"Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.),",,,
,,,"Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding",,,
,,,"edible fish offal of Tariff items 0303.91.00, 0303.92.00, or 0303.99.00:",,,
0303.23.00,,,Tilapias (Oreochromis spp.),Free,Free,
,10C,kg,Whole,,,
,15D,kg,Headed and gutted,,,
,29D,kg,Other,,,
0303.24.00,,,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Free,Free,
,10H,kg,Whole,,,
,15J,kg,Headed and gutted,,,
,29J,kg,Other,,,
0303.25.00,,,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,",,,
,,,"Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus,",,,
,,,"Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni,",,,
,,,Megalobrama spp.),Free,Free,
,11L,kg,Whole,,,
,21H,kg,Headed and gutted,,,
,29C,kg,Other,,,
0303.26.00,,,Eels (Anguilla spp.),Free,Free,
,10G,kg,Whole,,,
,15H,kg,Headed and gutted,,,
,29H,kg,Other,,,
0303.29.00,,,Other,Free,Free,
,10L,kg,Whole,,,
,15A,kg,Headed and gutted,,,
,49F,kg,Other,,,
,,,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,",,,
,,,"Scophthalmidae and Citharidae), excluding edible fish offal of Tariff",,,
,,,"items 0303.91.00, 0303.92.00, or 0303.99.00:",,,
0303.31.00,,,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus,",,,
,,,Hippoglossus stenolepis),Free,Free,
,01J,kg,Whole,,,
,11F,kg,Headed and gutted,,,
,29J,kg,Other,,,
0303.32.00,,,Plaice (Pleuronectes platessa),Free,Free,
,01C,kg,Whole,,,
,11L,kg,Headed and gutted,,,
,29C,kg,Other,,,
0303.33.00,,,Sole (Solea spp.),Free,Free,
,01H,kg,Whole,,,
,11E,kg,Headed and gutted,,,
,29H,kg,Other,,,
,,,"Fish, frozen, excluding fish fillets and other fish meat, etc.—continued",,,
,,,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, etc.—continued",,,
0303.34.00,,,Turbots (Psetta maxima),Free,Free,
,10A,kg,Whole,,,
,15B,kg,Headed and gutted,,,
,39K,kg,Other,,,
0303.39.00,,,Other,Free,Free,
,,,Whole:,,,
,02C,kg,Flounder,,,
,12L,kg,Lemon sole,,,
,21K,kg,New Zealand sole,,,
,28G,kg,Other,,,
,,,Headed and gutted:,,,
,31G,kg,Flounder,,,
,41D,kg,Lemon sole,,,
,51A,kg,New Zealand sole,,,
,58J,kg,Other,,,
,,,Other:,,,
,62G,kg,Flounder,,,
,72D,kg,Lemon sole,,,
,82A,kg,New Zealand sole,,,
,97K,kg,Other,,,
,,,"Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito)",,,
,,,"(Katsuwonus pelamis), excluding edible fish offal of subheadings",,,
,,,0303.91 to 0303.99:,,,
0303.41.00,,,Albacore or longfinned tunas (Thunnus alalunga),Free,Free,
,01B,kg,Whole,,,
,11K,kg,Headed and gutted,,,
,29B,kg,Other,,,
0303.42.00,,,Yellowfin tunas (Thunnus albacares),Free,Free,
,01G,kg,Whole,,,
,11D,kg,Headed and gutted,,,
,29G,kg,Other,,,
0303.43.00,,,Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis),Free,Free,
,01A,kg,Whole,,,
,11J,kg,Headed and gutted,,,
,29A,kg,Other,,,
0303.44.00,,,Bigeye tunas (Thunnus obesus),Free,Free,
,10E,kg,Whole,,,
,12A,kg,Headed and gutted,,,
,29F,kg,Other,,,
0303.45.00,,,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",Free,Free,
,,,Atlantic bluefin tuna:,,,
,11H,kg,Whole,,,
,15L,kg,Headed and gutted,,,
,28B,kg,Other,,,
,,,Pacific bluefin tuna:,,,
,31B,kg,Whole,,,
,35E,kg,Headed and gutted,,,
,49E,kg,Other,,,
0303.46.00,,,Southern bluefin tunas (Thunnus maccoyii),Free,Free,
,10D,kg,Whole,,,
,12L,kg,Headed and gutted,,,
,29E,kg,Other,,,
0303.49.00,,,Other,Free,Free,
,13B,kg,Whole,,,
,15J,kg,Headed and gutted,,,
,49C,kg,Other,,,
,,,"Fish, frozen, excluding fish fillets and other fish meat, etc.—continued",,,
,,,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.),",,,
,,,"sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.),",,,
,,,"brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus,",,,
,,,"Scomber australasicus, Scomber japonicus), Indian mackerels",,,
,,,"(Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse",,,
,,,"mackerel (Trachurus spp.), jacks, crevalles (caranx spp.), cobia",,,
,,,"(rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury",,,
,,,"(Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus),",,,
,,,"swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos",,,
,,,"(Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding",,,
,,,"edible fish offal of Tariff items 0303.91.00, 0303.92.00 or 0303.99.00:",,,
0303.51.00,,,"Herrings (Clupea Harengus, Clupea pallasii) Free",,Free,
,10E,kg,Whole,,,
,13K,kg,Headed and gutted,,,
,29F,kg,Other,,,
0303.53.00,,,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.),",,,
,,,brisling or sprats (Sprattus sprattus) Free,,Free,
,10D,kg,Whole,,,
,15E,kg,Headed and gutted,,,
,29E,kg,Other,,,
0303.54.00,,,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) Free",,Free,
,,,Whole:,,,
,10J,kg,Blue mackerel,,,
,15K,kg,Other,,,
,,,Headed and gutted:,,,
,19B,kg,Blue mackerel,,,
,25G,kg,Other,,,
,,,Other:,,,
,31A,kg,Blue mackerel,,,
,49D,kg,Other,,,
0303.55.00,,,Jack and horse mackerel (Trachurus spp.) Free,,Free,
,,,Whole:,,,
,10C,kg,Jack mackerel,,,
,15D,kg,Other,,,
,,,Headed and gutted:,,,
,19G,kg,Jack mackerel,,,
,25A,kg,Other,,,
,,,Other:,,,
,31F,kg,Jack mackerel,,,
,49J,kg,Other,,,
0303.56.00,,,Cobia (Rachycentron canadum) Free,,Free,
,10H,kg,Whole,,,
,15J,kg,Headed and gutted,,,
,29J,kg,Other,,,
0303.57.00,,,Swordfish (Xiphias gladius) Free,,Free,
,10B,kg,Whole,,,
,15C,kg,Headed and gutted,,,
,29C,kg,Other,,,
0303.59.00,,,Other Free,,Free,
,10A,kg,Whole,,,
,15B,kg,Headed and gutted,,,
,19E,kg,Other,,,
,,,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae,",,,
,,,"Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding",,,
,,,"edible fish offal of Tariff items 0303.91.00, 0303.92.00 or 0303.99.00:",,,
0303.63.00,,,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)  Free",,Free,
,10H,kg,Whole,,,
,15J,kg,Headed and gutted,,,
,29J,kg,Other,,,
0303.64.00,,,Haddock (Melanogrammus aeglefinus) Free,,Free,
,10B,kg,Whole,,,
,15C,kg,Headed and gutted,,,
,29C,kg,Other,,,
0303.65.00,,,Coalfish (Pollachius virens) Free,,Free,
,10G,kg,Whole,,,
,15H,kg,Headed and gutted,,,
,29H,kg,Other,,,
0303.66.00,,,"Hake (Merluccius spp., Urophycis spp.) Free",,Free,
,10A,kg,Whole,,,
,15B,kg,Headed and gutted,,,
,29B,kg,Other,,,
,,,"Fish, frozen, excluding fish fillets and other fish meat, etc.—continued",,,
,,,"Fish of the families Bremacerotidae, Euclichthyidae, etc.—continued",,,
0303.67.00,,,Alaska Pollock (Theragra chalcogramma),Free,Free,
,10F,kg,Whole,,,
,15G,kg,Headed and gutted,,,
,29G,kg,Other,,,
0303.68.00,,,"Blue Whitings (Micromesistius poutassou, Micromesistius australis)",Free,Free,
,,,Southern blue whiting:,,,
,10L,kg,Whole,,,
,15A,kg,Headed and gutted,,,
,20H,kg,Other,,,
,,,Other:,,,
,25J,kg,Whole,,,
,29A,kg,Headed and gutted,,,
,49F,kg,Other,,,
0303.69.00,,,Other,Free,Free,
,,,Whole:,,,
,10E,kg,Hoki,,,
,13K,kg,Red cod,,,
,15F,kg,Other,,,
,,,Headed and gutted:,,,
,19J,kg,Hoki,,,
,23G,kg,Red cod,,,
,25C,kg,Other,,,
,,,Other:,,,
,31H,kg,Hoki,,,
,37G,kg,Red cod,,,
,49L,kg,Other,,,
,,,"Other fish, excluding edible fish offal of Tariff items 0303.91.00,",,,
,,,0303.92.00 or 0303.99.00:,,,
0303.81.00,,,Dogfish and other sharks,Free,Free,
,,,Whole:,,,
,10F,kg,Elephant fish,,,
,15G,kg,School shark,,,
,17C,kg,Spiny dogfish,,,
,19K,kg,Spotted dogfish (Rig),,,
,21A,kg,Other,,,
,,,Headed and gutted:,,,
,23H,kg,Elephant fish,,,
,27L,kg,School shark,,,
,29G,kg,Spiny dogfish,,,
,31J,kg,Spotted dogfish (Rig),,,
,33E,kg,Other,,,
,,,Other:,,,
,36K,kg,Elephant fish,,,
,40H,kg,School shark,,,
,42D,kg,Spiny dogfish,,,
,44L,kg,Spotted dogfish (Rig),,,
,59J,kg,Other,,,
0303.82.00,,,Rays and skates (Rajidae),Free,Free,
,10L,kg,Whole,,,
,15A,kg,Headed and gutted,,,
,29A,kg,Other,,,
0303.83.00,,,Toothfish (Dissostichus spp.),Free,Free,
,,,Whole:,,,
,10E,kg,Antarctic Toothfish (Dissostichus mawsoni),,,
,13K,kg,Patagonian Toothfish (Dissoctichus eleginoides),,,
,15F,kg,Other,,,
,,,Headed and gutted:,,,
,17B,kg,Antarctic Toothfish (Dissostichus mawsoni),,,
,19J,kg,Patagonian Toothfish (Dissoctichus eleginoides),,,
,21L,kg,Other,,,
,,,Other:,,,
,31H,kg,Antarctic Toothfish (Dissostichus mawsoni),,,
,35L,kg,Patagonian Toothfish (Dissoctichus eleginoides),,,
,39C,kg,Other,,,
0303.84.00,,,Seabass (Dicentrarchus spp.),Free,Free,
,10K,kg,Whole,,,
,15L,kg,Headed and gutted,,,
,29L,kg,Other,,,
,,,"Fish, frozen, excluding fish fillets and other fish meat, etc.—continued",,,
,,,"Other fish, excluding edible fish offal of Tariff items, etc.—continued",,,
303.89,,,Other:,,,
0303.89.10,,,Whole,Free,Free,
,10H,kg,Alfonsino,,,
,13B,kg,Barracouta,,,
,15J,kg,Bluenose,,,
,17E,kg,Blue cod,,,
,19A,kg,Cardinal Fish,,,
,21C,kg,Gemfish,,,
,22A,kg,Ghost shark,,,
,23K,kg,Groper,,,
,25F,kg,Gurnard,,,
,29J,kg,John dory,,,
,31L,kg,Kahawai,,,
,33G,kg,Leatherjacket,,,
,35C,kg,Ling,,,
,37K,kg,Moki,,,
,39F,kg,Monkfish,,,
,41H,kg,Mullet,,,
,43D,kg,Orange roughy,,,
,,,Oreo dory:,,,
,45L,kg,Black,,,
,47G,kg,Other,,,
,51E,kg,Sea perch,,,
,53A,kg,Snapper,,,
,55H,kg,Tarakihi,,,
,57D,kg,Trevally,,,
,,,Warehou:,,,
,59L,kg,Blue,,,
,61B,kg,Silver,,,
,63J,kg,Other,,,
,65E,kg,Whitebait,,,
,67A,kg,Yellowtail kingfish,,,
,79E,kg,Other,,,
0303.89.20,,,Headed and gutted,Free,Free,
,10C,kg,Alfonsino,,,
,13H,kg,Barracouta,,,
,15D,kg,Bluenose,,,
,17L,kg,Blue cod,,,
,19G,kg,Cardinal Fish,,,
,21J,kg,Gemfish,,,
,22G,kg,Ghost shark,,,
,23E,kg,Groper,,,
,25A,kg,Gurnard,,,
,29D,kg,John dory,,,
,31F,kg,Kahawai,,,
,33B,kg,Leatherjacket,,,
,35J,kg,Ling,,,
,37E,kg,Moki,,,
,39A,kg,Monkfish,,,
,41C,kg,Mullet,,,
,43K,kg,Orange roughy,,,
,,,Oreo dory:,,,
,45F,kg,Black,,,
,47B,kg,Other,,,
,51L,kg,Sea perch,,,
,53G,kg,Snapper,,,
,55C,kg,Tarakihi,,,
,57K,kg,Trevally,,,
,,,Warehou:,,,
,59F,kg,Blue,,,
,61H,kg,Silver,,,
,63D,kg,Other,,,
,67G,kg,Yellowtail kingfish,,,
,79L,kg,Other,,,
,,,"Fish, frozen, excluding fish fillets and other fish meat, etc.—continued",,,
,,,"Other fish, excluding edible fish offal of Tariff items, etc.—continued",,,
,,,Other—continued,,,
0303.89.90,,,Other,Free,Free,
,11K,kg,Alfonsino,,,
,14D,kg,Barracouta,,,
,16L,kg,Bluenose,,,
,18G,kg,Blue cod,,,
,20J,kg,Cardinal Fish,,,
,22E,kg,Gemfish,,,
,24A,kg,Groper,,,
,26H,kg,Gurnard,,,
,27F,kg,Ghost shark,,,
,28D,kg,John dory,,,
,,,Kahawai:,,,
,30F,kg,Heads,,,
,32B,kg,Other,,,
,34J,kg,Leatherjacket,,,
,36E,kg,Ling,,,
,38A,kg,Moki,,,
,40C,kg,Monkfish,,,
,42K,kg,Mullet,,,
,44F,kg,Orange roughy,,,
,,,Oreo dory:,,,
,46B,kg,Black,,,
,48J,kg,Other,,,
,50L,kg,Sea perch,,,
,52G,kg,Snapper,,,
,54C,kg,Tarakihi,,,
,56K,kg,Trevally,,,
,,,Warehou:,,,
,58F,kg,Blue,,,
,60H,kg,Silver,,,
,62D,kg,Other,,,
,64L,kg,Yellowtail kingfish,,,
,79J,kg,Other,,,
,,,"Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal:",,,
0303.91.00,,,"Livers, roes and milt",Free,Free,
,10K,kg,Livers and roes of salmonidae,,,
,19C,kg,Other,,,
0303.92.00,00G,kg,Shark fins,Free,Free,
0303.99.00,00J,kg,Other,Free,Free,
3.04,,,"Fish fillets and other fish meat (whether or not minced), fresh, chilled",,,
,,,or frozen:,,,
,,,"Fresh or chilled fillets of tilapias (Oreochromis spp.), catfish",,,
,,,"(Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp",,,
,,,"(Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,",,,
,,,"Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus,",,,
,,,"Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni,",,,
,,,"Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus)",,,
,,,and snakeheads (Channa spp.):,,,
0304.31.00,00J,kg,Tilapias (Oreochromis spp.),Free,Free,
0304.32.00,00C,kg,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",Free,Free,
0304.33.00,00H,kg,Nile perch (Lates niloticus),Free,Free,
0304.39.00,10B,kg,Other,Free,Free,
,,,Fresh or chilled fillets of other fish:,,,
0304.41.00,00B,kg,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha,",,,
,,,"Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus",,,
,,,"kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic",,,
,,,salmon (Salmo salar) and Danube salmon (Hucho hucho),Free,Free,
0304.42.00,00G,kg,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki,",,,
,,,"Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus",,,
,,,apache and Oncorhynchus chrysogaster),Free,Free,
0304.43.00,,,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,",,,
,,,Scophthalmidae and Citharidae),Free,Free,
,10J,kg,Flounder,,,
,15K,kg,Lemon sole,,,
,19B,kg,New Zealand sole,,,
,29K,kg,Other,,,
,,,"Fish fillets and other fish meat (whether or not minced), etc.—continued",,,
,,,Fresh or chilled fillets of other fish—continued,,,
0304.44.00,,,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae,",,,
,,,"Macrouridae, Melanonidae, Merlucciidae, Moridae and",,,
,,,Muraenolepididae,Free,Free,
,10C,kg,Hake,,,
,15D,kg,Hoki,,,
,17L,kg,Red cod,,,
,19G,kg,Southern blue whiting,,,
,29D,kg,Other,,,
0304.45.00,00L,kg,Swordfish (Xiphias gladius),Free,Free,
0304.46.00,,,Toothfish (Dissostichus spp.),Free,Free,
,10B,kg,Antarctic Toothfish (Dissostichus mawsoni),,,
,15C,kg,Patagonian Toothfish (Dissostichus eleginoides),,,
,19F,kg,Other,,,
0304.47.00,,,Dogfish and other sharks,Free,Free,
