NCM,DESCRICAO,ALIçQUOTA(%),,,,
8442.30.90,Outros,0,,,,
8442.4," partes dessas m°quinas, aparelhos e Equipamentos",,,,,
8442.40.10,De m°quinas do item 8442.30.10,"3,25",,,,
8442.40.20,De m°quinas do item 8442.30.20,"3,25",,,,
8442.40.90,Outras,"3,25",,,,
8442.50.00,"- Clich™s, placas, cilindros e outros elementos de impresso; pedras litogr°ficas, placas ecilindros, preparados para impresso (por exemplo, aplainados, granulados ou polidos)","3,25",,,,
,,,,,,
84.43,"M°quinas e aparelhos de impresso por meio de placas, cilindros e outros elementosde impresso da posio 84.42; outras impressoras, aparelhos de copiar e aparelhosde telecopiar (fax), mesmo combinados entre si; partes e acess≥rios.",,,,,
8443.1,"- M°quinas e aparelhos de impresso por meio de placas, cilindros e outros elementos deimpresso da posio 84.42:",,,,,
8443.11,"M°quinas e aparelhos de impresso, por ofsete, alimentados por bobinas",,,,,
8443.11.10,"Para impresso multicolor de jornais, de largura igual ou superior a 900 mm, comunidades de impresso em configurao torre e dispositivos autom°ticos de emendarbobinas",0,,,,
8443.11.90,Outros,0,,,,
8443.12.00,"M°quinaseaparelhosdeimpresso,porofsete,dotipoutilizadoemescrit≥rios,alimentados por folhas em que um lado no seja superior a 22 cm e que o outro no sejasuperior a 36 cm, quando no dobradas",0,,,,
8443.13,"Outras m°quinas e aparelhos de impresso, por ofsete",,,,,
8443.13.10,"Para impresso multicolor de recipientes de matrias pl°sticas, cil≠ndricos, c¥nicos oude faces planas",0,,,,
8443.13.2,"Alimentados por folhas de formato inferior ou igual a 37,5 cm x 51 cm",,,,,
8443.13.21,Com velocidade de impresso igual ou superior a 12.000 folhas por hora,0,,,,
8443.13.29,Outros,0,,,,
8443.13.90,Outros,0,,,,
8443.14.00,"M°quinas e aparelhos de impresso, tipogr°ficos, alimentados por bobinas, excluindo asm°quinas e aparelhos flexogr°ficos",0,,,,
8443.15.00,"M°quinaseaparelhosdeimpresso,tipogr°ficos,noalimentadosporbobinas,excluindo as m°quinas e aparelhos flexogr°ficos",0,,,,
8443.16.00,"M°quinas e aparelhos de impresso, flexogr°ficos",0,,,,
8443.17,"M°quinas e aparelhos de impresso, heliogr°ficos",,,,,
8443.17.10,Rotativas para heliogravura,0,,,,
8443.17.90,Outros,0,,,,
8443.19,Outros,,,,,
8443.19.10,Para serigrafia,0,,,,
8443.19.90,Outros,0,,,,
8443.3,"- Outrasimpressoras,aparelhosdecopiareaparelhosdetelecopiar(fax),mesmocombinados entre si:",,,,,
8443.31,"M°quinas que executem pelo menos duas das seguintes funµes: impresso, c≥pia outransmisso de telec≥pia (fax), capazes de ser conectadas a uma m°quina autom°ticapara processamento de dados ou a uma rede",,,,,
8443.31.1,"Alimentadas por folhas, com velocidade de impresso, medida no formato A4 (210 mmx 297 mm), inferior ou igual a 45 p°ginas por minuto (ppm)",,,,,
8443.31.11,"De jato de tinta l≠quida, com largura de impresso inferior ou igual a 420 mm","9,75",,,,
8443.31.12,"De transfer™ncia trmica de cera s≥lida (por exemplo, solid ink e dye sublimation)","9,75",,,,
8443.31.13,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L≠quido),monocrom°ticas, com largura de impresso inferior ou igual a 280 mm","9,75",,,,
8443.31.14,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L≠quido),monocrom°ticas, com largura de impresso superior a 280 mm, mas no superior a420 mm","9,75",,,,
8443.31.15,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L≠quido),policrom°ticas","9,75",,,,
8443.31.16,"Outras, com largura de impresso superior a 420 mm","9,75",,,,
8443.31.19,Outras,"9,75",,,,
8443.31.9,Outras,,,,,
8443.31.91,Com impresso por sistema trmico,"9,75",,,,
8443.31.99,Outras,"9,75",,,,
8443.32,"Outros, capazes de ser conectados a uma m°quina autom°tica para processamento dedados ou a uma rede",,,,,
8443.32.2,Impressoras de impacto,,,,,
8443.32.21,De linha,"9,75",,,,
8443.32.22,De caracteres Braille,0,,,,
8443.32.23,Outras matriciais (por pontos),"9,75",,,,
8443.32.29,Outras,"9,75",,,,
8443.32.3,"Outras impressoras, alimentadas por folhas, com velocidade de impresso, medida noformato A4 (210 mm x 297 mm), inferior ou igual a 45 p°ginas por minuto (ppm)",,,,,
8443.32.31,"De jato de tinta l≠quida, com largura de impresso inferior ou igual a 420 mm","9,75",,,,
8443.32.32,"De transfer™ncia trmica de cera s≥lida (por exemplo, solid ink e dye sublimation)",15,,,,
8443.32.33,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L≠quido),monocrom°ticas, com largura de impresso inferior ou igual a 280 mm","9,75",,,,
8443.32.34,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L≠quido),monocrom°ticas, com largura de impresso superior a 280 mm, mas no superior a420 mm","9,75",,,,
8443.32.35,"A laser, LED (DiodosEmissores de Luz) ou LCS (Sistema de Cristal L≠quido),policrom°ticas, com velocidade de impresso inferior ou igual a 20 p°ginas por minuto(ppm)","9,75",,,,
8443.32.36,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal L≠quido),policrom°ticas, com velocidade de impresso superior a 20 p°ginas por minuto (ppm)","9,75",,,,
8443.32.37,"Trmicas, do tipo utilizado em impresso de imagens para diagn≥stico mdico emfolhas revestidas com camada termossens≠vel","9,75",,,,
8443.32.38,"Outras, com largura de impresso superior a 420 mm","9,75",,,,
8443.32.39,Outras,"9,75",,,,
8443.32.40,Outras impressoras alimentadas por folhas,"9,75",,,,
8443.32.5,Traadores gr°ficos (plotters),,,,,
8443.32.51,Por meio de penas,"9,75",,,,
8443.32.52,"Outros, com largura de impresso superior a 580 mm","9,75",,,,
8443.32.59,Outros,"9,75",,,,
8443.32.9,Outros,,,,,
8443.32.91,"Impressoras de c≥digo de barras postais, tipo 3 em 5, a jato de tinta fluorescente, comvelocidade de at 4,5 m/s e passo de 1,4 mm","9,75",,,,
8443.32.99,Outros,15,,,,
8443.39,Outros,,,,,
8443.39.10,M°quinas de impresso por jato de tinta,0,,,,
8443.39.2,M°quinas copiadoras eletrost°ticas,,,,,
8443.39.21,"Dereproduodaimagemdooriginalsobreac≥piapormeiodeumsuporteintermedi°rio (processo indireto), monocrom°ticas, para c≥pias de superf≠cie inferiorou igual a 1 m2, com velocidade inferior a 100 c≥pias por minuto",13,,,,
8443.39.28,"Outras, por processo indireto",13,,,,
8443.39.29,Outras,13,,,,
8443.39.30,Outras m°quinas copiadoras,13,,,,
8443.39.90,Outros,13,,,,
8443.9,- Partes e acess≥rios:,,,,,
8443.91,"Partes e acess≥rios de m°quinas e aparelhos de impresso por meio de blocos, cilindrose outros elementos de impresso da posio 84.42",,,,,
8443.91.10,De m°quinas e aparelhos da subposio 8443.12,"3,25",,,,
8443.91.9,Outros,,,,,
8443.91.91,Dobradoras,0,,,,
8443.91.92,Numeradores autom°ticos,0,,,,
8443.91.99,Outros,0,,,,
8443.99,Outros,,,,,
8443.99.1,"Mecanismos de impresso por impacto, suas partes e acess≥rios",,,,,
8443.99.11,"Mecanismos de impresso, mesmo sem cabea de impresso incorporada","6,5",,,,
8443.99.12,Cabeas de impresso,"6,5",,,,
8443.99.19,Outros,"6,5",,,,
8443.99.2,"Mecanismos de impresso por jato de tinta, suas partes e acess≥rios",,,,,
8443.99.21,"Mecanismos de impresso, mesmo sem cabea de impresso incorporada","6,5",,,,
8443.99.22,Cabeas de impresso,"3,25",,,,
8443.99.23,Cartuchos de tinta,"3,25",,,,
8443.99.29,Outros,"6,5",,,,
8443.99.3,"Mecanismos de impresso a laser, a LED (Diodos Emissores de Luz) ou a LCS(Sistema de Cristal L≠quido), suas partes e acess≥rios",,,,,
8443.99.31,"Mecanismos de impresso, mesmo sem cilindro fotossens≠vel incorporado","3,25",,,,
8443.99.32,Cilindros recobertos de matria semicondutora fotoeltrica,"3,25",,,,
8443.99.33,Cartuchos de revelador (toners),"3,25",,,,
8443.99.39,Outros,"6,5",,,,
8443.99.4,"Mecanismos de impresso por sistema trmico, suas partes e acess≥rios",,,,,
8443.99.41,"Mecanismos de impresso, mesmo sem cabea de impresso incorporada","6,5",,,,
8443.99.42,Cabeas de impresso,"3,25",,,,
8443.99.49,Outros,"6,5",,,,
8443.99.50,"Outros mecanismos de impresso, suas partes e acess≥rios","6,5",,,,
8443.99.60,"Circuitos impressos com componentes eltricos ou eletr¥nicos, montados","9,75",,,,
8443.99.70,"Bandejas e gavetas, suas partes e acess≥rios","6,5",,,,
8443.99.80,"Mecanismos de alimentao ou de triagem de papis ou documentos, suas partes eacess≥rios","6,5",,,,
8443.99.90,Outros,"6,5",,,,
,,,,,,
8444,"M°quinas para extrudar, estirar, texturizar ou cortar matrias t™xteis sintticas ouartificiais.",,,,,
8444.00.10,Para extrudar,0,,,,
8444.00.20,Para corte ou ruptura de fibras,0,,,,
8444.00.90,Outras,0,,,,
,,,,,,
84.45,"M°quinas para preparao de matrias t™xteis; m°quinas para fiao, dobragem outoro, de matrias t™xteis e outras m°quinas e aparelhos para fabricao de fiost™xteis; m°quinas de bobinar (incluindo as bobinadoras de trama) ou de dobarmatrias t™xteis e m°quinas para preparao de fios t™xteis para a sua utilizao nasm°quinas das posiµes 84.46 ou 84.47.",,,,,
8445.1,- M°quinas para preparao de matrias t™xteis:,,,,,
8445.11,Cardas,,,,,
8445.11.10,Para l,0,,,,
8445.11.20,Para fibras do Cap≠tulo 53,0,,,,
8445.11.90,Outras,0,,,,
8445.12.00,Penteadoras,0,,,,
8445.13.00,Bancos de estiramento (fusos),0,,,,
8445.19,Outras,,,,,
8445.19.10,M°quinas para a preparao da seda,0,,,,
8445.19.2,M°quinas para a preparao de outras matrias t™xteis,,,,,
8445.19.21,"Pararecuperaodecordas,fios,traposouqualqueroutrodesperd≠cio,transformando-os em fibras adequadas para cardagem",0,,,,
8445.19.22,Descaroadeiras e deslintadeiras de algodo,0,,,,
8445.19.23,"Para desengordurar, lavar, alvejar ou tingir fibras t™xteis em massa ou rama",0,,,,
8445.19.24,Abridoras de fibras de l,0,,,,
8445.19.25,Abridoras de fibras do Cap≠tulo 53,0,,,,
8445.19.26,M°quinas de carbonizar a l,0,,,,
8445.19.27,Para estirar a l,0,,,,
8445.19.29,Outras,0,,,,
8445.20.00, m°quinas para fiao de matrias t™xteis,0,,,,
8445.3," m°quinas para dobragem ou toro, de matrias t™xteis",,,,,
8445.30.10,Retorcedeiras,0,,,,
8445.30.90,Outras,0,,,,
8445.4, m°quinas de bobinar (incluindo as bobinadoras de trama) ou de dobar matrias t™xteis,,,,,
8445.40.1,Bobinadoras autom°ticas,,,,,
8445.40.11,Bobinadoras de trama (espuladeiras),0,,,,
8445.40.12,Para fios elastanos,0,,,,
8445.40.18,"Outras, com atador autom°tico",0,,,,
8445.40.19,Outras,0,,,,
8445.40.2,Bobinadoras no autom°ticas,,,,,
8445.40.21,Com velocidade de bobinado igual ou superior a 4.000 m/min,0,,,,
8445.40.29,Outras,0,,,,
8445.40.3,Meadeiras,,,,,
8445.40.31,Com controle de comprimento ou peso e atador autom°tico,0,,,,
8445.40.39,Outras,0,,,,
8445.40.40,Noveleiras autom°ticas,0,,,,
8445.40.90,Outras,0,,,,
8445.9, Outras,,,,,
8445.90.10,Urdideiras,0,,,,
8445.90.20,Passadeiras para lio e pente,0,,,,
8445.90.30,Para amarrar urdideiras,0,,,,
8445.90.40,"Autom°ticas, para colocar lamelas",0,,,,
8445.90.90,Outras,0,,,,
,,,,,,
84.46,Teares para tecidos.,,,,,
8446.1,- Para tecidos de largura no superior a 30 cm,,,,,
8446.10.10,Com mecanismo Jacquard,0,,,,
8446.10.90,Outros,0,,,,
8446.2,"- Para tecidos de largura superior a 30 cm, de lanadeiras:",,,,,
8446.21.00,a motor,0,,,,
8446.29.00,Outros,0,,,,
8446.3,"- Para tecidos de largura superior a 30 cm, sem lanadeiras",,,,,
8446.30.10,A jato de ar,0,,,,
8446.30.20,A jato de °gua,0,,,,
8446.30.30,De projtil,0,,,,
8446.30.40,De pinas,0,,,,
8446.30.90,Outros,0,,,,
,,,,,,
84.47,"Teares para fabricar malhas, m°quinas de costura por entrelaamento (couture-tricotage), m°quinas para fabricar guipuras, tules, rendas, bordados, passamanarias,galµes ou redes e m°quinas para inserir tufos.",,,,,
8447.1,- Teares circulares para malhas:,,,,,
8447.11.00,Com cilindro de di¢metro no superior a 165 mm,0,,,,
8447.12.00,Com cilindro de di¢metro superior a 165 mm,0,,,,
8447.2,"- Tearesretil≠neosparamalhas;m°quinasdecosturaporentrelaamento(couture-tricotage)",,,,,
8447.20.10,Teares manuais,0,,,,
8447.20.2,Teares motorizados,,,,,
8447.20.21,Para fabricao de malhas de urdidura,0,,,,
8447.20.29,Outros,0,,,,
8447.20.30,M°quinas de costura por entrelaamento (couture-tricotage),0,,,,
8447.9, Outros,,,,,
8447.90.10,"M°quinas para fabricao de redes, tules ou fil≥s",0,,,,
8447.90.20,M°quinas autom°ticas para bordar,0,,,,
8447.90.90,Outras,0,,,,
,,,,,,
84.48,"M°quinas e aparelhos auxiliares para as m°quinas das posiµes 84.44, 84.45, 84.46ou84.47(porexemplo,ratieras(maquinetas*),mecanismosJacquard,quebra-urdidurasequebra-tramas,mecanismostroca-lanadeiras);parteseacess≥riosreconhec≠veiscomoexclusivaouprincipalmentedestinados†sm°quinasdapresente posio ou das posiµes 84.44, 84.45, 84.46 ou 84.47 (por exemplo, fusos,aletas, guarniµes de cardas, pentes, barras, fieiras, lanadeiras, lios e quadros delios, agulhas, platinas, ganchos).",,,,,
8448.1,"- M°quinas e aparelhos auxiliares para as m°quinas das posiµes 84.44, 84.45, 84.46 ou84.47:",,,,,
8448.11,"Ratieras (Maquinetas*) e mecanismos Jacquard; redutores, perfuradores e copiadoresde cartµes; m°quinas para enlaar cartµes ap≥s perfurao",,,,,
8448.11.10,Ratieras,0,,,,
8448.11.20,Mecanismos Jacquard,0,,,,
8448.11.90,Outros,0,,,,
8448.19.00,Outros,"3,25",,,,
8448.2,"- Partes e acess≥rios das m°quinas da posio 84.44 ou das suas m°quinas e aparelhosauxiliares",,,,,
8448.20.10,Fieiras para a extruso,"3,25",,,,
8448.20.20,Outras partes e acess≥rios de m°quinas para a extruso,"3,25",,,,
8448.20.30,De m°quinas para corte ou ruptura de fibras,"3,25",,,,
8448.20.90,Outras,"3,25",,,,
8448.3,"- Partes e acess≥rios das m°quinas da posio 84.45 ou das suas m°quinas e aparelhosauxiliares:",,,,,
8448.31.00,Guarniµes de Cardas,0,,,,
8448.32,"De m°quinas para preparao de matrias t™xteis, exceto as guarniµes de cardas",,,,,
8448.32.1,De cardas,,,,,
8448.32.11,Chapus (flats),"3,25",,,,
8448.32.19,Outras,"3,25",,,,
8448.32.20,De penteadoras,"3,25",,,,
8448.32.30,De bancas de estiramento (bancas de fusos),"3,25",,,,
8448.32.40,De m°quinas para a preparao da seda,"3,25",,,,
8448.32.50,De m°quinas para carbonizar l,"3,25",,,,
8448.32.90,Outros,"3,25",,,,
8448.33,"Fusos e suas aletas, anis e cursores",,,,,
8448.33.10,Cursores,"3,25",,,,
8448.33.90,Outros,"3,25",,,,
8448.39,Outros,,,,,
8448.39.1,"De m°quinas para fiao, dobragem ou toro",,,,,
8448.39.11,De filat≥rios intermitentes (selfatinas),"3,25",,,,
8448.39.12,De m°quinas do tipo tow-to-yarn,"3,25",,,,
8448.39.17,De outros filat≥rios,"3,25",,,,
8448.39.19,Outras,"3,25",,,,
8448.39.2,De m°quinas de bobinar ou de dobar,,,,,
8448.39.21,De bobinadoras de trama (espuladeiras),"3,25",,,,
8448.39.22,"De bobinadoras autom°ticas para fios elastanos, ou com atador autom°tico","3,25",,,,
8448.39.23,"Outras, de bobinadoras autom°ticas","3,25",,,,
8448.39.29,Outras,"3,25",,,,
8448.39.9,Outros,,,,,
8448.39.91,De urdideiras,"3,25",,,,
8448.39.92,De passadeiras para lio e pente,"3,25",,,,
8448.39.99,Outras,"3,25",,,,
8448.4,- Partes e acess≥rios de teares para tecidos ou das suas m°quinas e aparelhos auxiliares:,,,,,
8448.42.00,"Pentes, lios e quadros de lios",0,,,,
8448.49,Outros,,,,,
8448.49.10,De m°quinas ou aparelhos auxiliares de teares,"3,25",,,,
8448.49.20,"De teares para tecidos de largura superior a 30 cm, sem lanadeiras, a jato de °gua oude projtil","3,25",,,,
8448.49.90,Outras,"3,25",,,,
8448.5,"- Partes e acess≥rios dos teares, m°quinas ou aparelhos, da posio 84.47 ou das suasm°quinas e aparelhos auxiliares:",,,,,
8448.51,"Platinas, agulhas e outros artigos, utilizados na formao das malhas",,,,,
8448.51.10,Platinas,"3,25",,,,
8448.51.90,Outros,"3,25",,,,
8448.59,Outros,,,,,
8448.59.10,De teares circulares para malhas,"3,25",,,,
8448.59.2,De teares retil≠neos,,,,,
8448.59.21,Manuais,"3,25",,,,
8448.59.22,Para fabricao de malhas de urdidura,"3,25",,,,
8448.59.29,Outras,"3,25",,,,
8448.59.30,"De m°quinas para fabricao de redes, tules ou fil≥s, ou autom°ticas para bordar","3,25",,,,
8448.59.40,De m°quinas do item 8447.90.90,"3,25",,,,
8448.59.90,Outras,"3,25",,,,
,,,,,,
8449,"M°quinas e aparelhos para fabricao ou acabamento de feltro ou de falsos tecidos(tecidos no tecidos), em pea ou em forma determinada, incluindo as m°quinas eaparelhos para fabricao de chapus de feltro; formas para chapelaria.",,,,,
8449.00.10,M°quinas e aparelhos para fabricao ou acabamento de feltros,0,,,,
8449.00.20,M°quinas e aparelhos para fabricao de falsos tecidos (tecidos no tecidos),0,,,,
8449.00.80,Outros,0,,,,
8449.00.9,Partes,,,,,
8449.00.91,De m°quinas ou aparelhos para fabricao de falsos tecidos (tecidos no tecidos),"3,25",,,,
8449.00.99,Outras,"3,25",,,,
,,,,,,
84.5,"M°quinas de lavar roupa, mesmo com dispositivos de secagem.",,,,,
8450.1,"- M°quinas de capacidade, expressa em peso de roupa seca, no superior a 10 kg:",,,,,
8450.11.00,m°quinas inteiramente autom°ticas,"3,25",,,,
,Ex 01 - De uso domstico,13,,,,
8450.12.00,"Outras m°quinas, Com secador centr≠fugo incorporado","3,25",,,,
,Ex 01 - De uso domstico,13,,,,
8450.19.00,Outras,"3,25",,,,
,Ex 01 - De uso domstico,"6,5",,,,
8450.2,"- M°quinas de capacidade, expressa em peso de roupa seca, superior a 10 kg",,,,,
8450.20.10,Tneis cont≠nuos,"3,25",,,,
8450.20.20,"Outras m°quinas, de capacidade no superior a 18 kg",13,,,,
8450.20.90,Outras,13,,,,
,"Ex 01 - De capacidade, expressa em peso de roupa seca, superior a 20 Kg",0,,,,
8450.9, partes,,,,,
8450.90.10,De m°quinas da subposio 8450.20,13,,,,
8450.90.90,Outras,13,,,,
,,,,,,
84.51,"M°quinas e aparelhos (exceto as m°quinas da posio 84.50) para lavar, limpar,espremer, secar, passar, prensar (incluindo as prensas de transfer™ncia trmica oude fuso), branquear, tingir, para apresto e acabamento, para revestir ou impregnarfios, tecidos ou obras de matrias t™xteis e m°quinas para revestir tecidos-base ououtros suportes utilizados na fabricao de revestimentos para pisos (pavimentos),tais como lin≥leo; m°quinas para enrolar, desenrolar, dobrar, cortar ou denteartecidos.",,,,,
8451.10.00, m°quinas para lavar a seco,0,,,,
8451.2,- M°quinas de secar:,,,,,
8451.21.00,"De capacidade, expressa em peso de roupa seca, no superior a 10 kg","3,25",,,,
,Ex 01 - De uso domstico,13,,,,
8451.29,Outras,,,,,
8451.29.10,"Que funcionem por meio de ondas eletromagnticas (micro-ondas), cuja produo sejaigual ou superior a 120 kg/h de produto seco",0,,,,
8451.29.90,Outras,0,,,,
8451.3,"- M°quinas e prensas para passar, incluindo as prensas de transfer™ncia trmica ou defuso",,,,,
8451.30.10,Autom°ticas,0,,,,
8451.30.9,Outras,,,,,
8451.30.91,Prensas para passar de peso inferior ou igual a 14 kg,"3,25",,,,
8451.30.99,Outras,0,,,,
8451.4," m°quinas para lavar, branquear ou tingir",,,,,
8451.40.10,Para lavar,0,,,,
8451.40.2,Para tingir ou branquear fios ou tecidos,,,,,
8451.40.21,"Para tingir tecidos em rolos; para tingir por presso est°tica, com molinete (rotor dep°s), jato de °gua (jet) ou combinada",0,,,,
8451.40.29,Outras,0,,,,
8451.40.90,Outras,0,,,,
8451.5," m°quinas para enrolar, desenrolar, dobrar, cortar ou dentear Tecidos",,,,,
8451.50.10,Para inspecionar tecidos,0,,,,
8451.50.20,"Autom°ticas, para enfestar ou cortar",0,,,,
8451.50.90,Outras,0,,,,
8451.80.00, Outras m°quinas e aparelhos,0,,,,
,Ex 01 - De uso domstico,"7,8",,,,
8451.9, partes,,,,,
8451.90.10,Para as m°quinas da subposio 8451.21,"3,25",,,,
8451.90.90,Outras,"3,25",,,,
,,,,,,
84.52,"M°quinas de costura, exceto as de costurar cadernos da posio 84.40; m≥veis,bases e tampas, pr≥prios para m°quinas de costura; agulhas para m°quinas decostura.",,,,,
8452.10.00, m°quinas de costura de uso domstico,"1,95",,,,
8452.2,- Outras m°quinas de costura:,,,,,
8452.21,Unidades autom°ticas,,,,,
8452.21.10,Para costurar couros ou peles,0,,,,
8452.21.20,Para costurar tecidos,0,,,,
8452.21.90,Outras,0,,,,
8452.29,Outras,,,,,
8452.29.10,Para costurar couros ou peles,0,,,,
8452.29.2,Para costurar tecidos,,,,,
8452.29.21,Remalhadeiras,0,,,,
8452.29.22,Para casear,0,,,,
8452.29.23,Tipo zigue-zague para inserir el°stico,0,,,,
8452.29.24,De costura reta,0,,,,
8452.29.25,Galoneiras,0,,,,
8452.29.29,Outras,0,,,,
8452.29.90,Outras,0,,,,
8452.30.00, Agulhas para m°quinas de costura,"3,25",,,,
8452.9,"- M≥veis, bases e tampas, para m°quinas de costura, e suas partes; outras partes dem°quinas de costura",,,,,
8452.90.20,"M≥veis, bases e tampas, para m°quinas de costura, e suas partes","3,25",,,,
,Ex 01 - Para m°quinas de costura de uso domstico,"1,95",,,,
8452.90.8,Outras partes de m°quinas de costura de uso domstico,,,,,
8452.90.81,"Guia-fios, lanadeiras e porta-bobinas","3,25",,,,
8452.90.89,Outras,"3,25",,,,
8452.90.9,Outras,,,,,
8452.90.91,"Guia-fios, lanadeiras no rotativas e porta-bobinas","3,25",,,,
8452.90.92,Para remalhadeiras,"3,25",,,,
8452.90.93,Lanadeiras rotativas,"3,25",,,,
8452.90.94,Corpos moldados por fundio,"3,25",,,,
8452.90.99,Outras,"3,25",,,,
,,,,,,
84.53,"M°quinas e aparelhos para preparar, curtir ou trabalhar couros ou peles, ou parafabricar ou consertar calado e outras obras de couro ou de pele, exceto m°quinasde costura.",,,,,
8453.1," m°quinas e aparelhos para preparar, curtir ou trabalhar couros ou peles",,,,,
8453.10.10,"M°quinas para dividir couros com largura til inferior ou igual a 3.000 mm, com l¢minasem fim, com controle eletr¥nico program°vel",0,,,,
8453.10.90,Outros,0,,,,
8453.20.00, m°quinas e aparelhos para fabricar ou consertar calado,0,,,,
8453.80.00, Outras m°quinas e aparelhos,0,,,,
8453.90.00, partes,0,,,,
,,,,,,
84.54,"Conversores, cadinhos ou colheres de fundio, lingoteiras e m°quinas de vazar(moldar), para metalurgia, aciaria ou fundio.",,,,,
8454.10.00, Conversores,0,,,,
8454.2, Lingoteiras e cadinhos ou colheres de fundio,,,,,
8454.20.10,Lingoteiras,0,,,,
8454.20.90,Outras,0,,,,
8454.3, m°quinas de vazar (moldar),,,,,
8454.30.10,Sob presso,0,,,,
8454.30.20,Por centrifugao,0,,,,
8454.30.90,Outras,0,,,,
8454.9, partes,,,,,
8454.90.10,De m°quinas de vazar (moldar) por centrifugao,"3,25",,,,
8454.90.90,Outras,0,,,,
,,,,,,
84.55,Laminadores de metais e seus cilindros.,,,,,
8455.10.00, laminadores de Tubos,0,,,,
8455.2,- Outros laminadores:,,,,,
8455.21,laminadores a quente e laminadores combinados a quente e a frio,,,,,
8455.21.10,De cilindros lisos,0,,,,
8455.21.90,Outros,0,,,,
8455.22,laminadores a frio,,,,,
8455.22.10,De cilindros lisos,0,,,,
8455.22.90,Outros,0,,,,
8455.3, cilindros de laminadores,,,,,
8455.30.10,"Fundidos, de ao ou ferro fundido nodular",0,,,,
8455.30.20,"Forjados, de ao de corte r°pido, com um teor, em peso, de carbono igual ou superiora 0,80 % e inferior ou igual a 0,90 %, de cromo igual ou superior a 3,50 % e inferior ouigual a 4 %, de van°dio igual ou superior a 1,60 % e inferior ou igual a 2,30 %, demolibd™nio inferior ou igual a 8,50 % e de tungst™nio (volfr¢mio) inferior ou igual a 7 %",0,,,,
8455.30.90,Outros,0,,,,
8455.90.00, Outras partes,"3,25",,,,
,,,,,,
84.56,"M°quinas-ferramentasquetrabalhemporeliminaodequalquermatria,queoperemporlaserouporoutrofeixedeluzoudef≥tons,porultrassom,poreletroeroso, por processos eletroqu≠micos, por feixes de eltrons, por feixes i¥nicosou por jato de plasma; m°quinas de corte a jato de °gua.",,,,,
8456.1,- Que operem por laser ou por outro feixe de luz ou de f≥tons:,,,,,
8456.11,que operem por laser,,,,,
8456.11.1,De comando numrico,,,,,
8456.11.11,Para corte de chapas met°licas de espessura superior a 8 mm,0,,,,
8456.11.19,Outras,0,,,,
8456.11.90,Outras,0,,,,
8456.12,que operem por outro feixe de luz ou de f≥tons,,,,,
8456.12.1,De comando numrico,,,,,
8456.12.11,Para corte de chapas met°licas de espessura superior a 8 mm,0,,,,
8456.12.19,Outras,0,,,,
8456.12.90,Outras,0,,,,
8456.2, que operem por ultrassom,,,,,
8456.20.10,De comando numrico,0,,,,
8456.20.90,Outras,0,,,,
8456.3, que operem por eletroeroso,,,,,
8456.30.1,De comando numrico,,,,,
8456.30.11,Para texturizar superf≠cies cil≠ndricas,0,,,,
8456.30.19,Outras,0,,,,
8456.30.90,Outras,0,,,,
8456.40.00, que operem por jato de plasma,0,,,,
8456.50.00, m°quinas de corte a jato de °gua,0,,,,
8456.90.00, Outras,0,,,,
,,,,,,
84.57,"Centros de usinagem (fabricao*), m°quinas de sistema monost°tico (single station)e m°quinas de estaµes mltiplas, para trabalhar metais.",,,,,
8457.10.00,- Centros de usinagem (fabricao*),0,,,,
8457.2, m°quinas de sistema monost°tico (single station),,,,,
8457.20.10,De comando numrico,0,,,,
8457.20.90,Outras,0,,,,
8457.3, m°quinas de estaµes mltiplas,,,,,
8457.30.10,De comando numrico,0,,,,
8457.30.90,Outras,0,,,,
,,,,,,
84.58,Tornos (incluindo os centros de torneamento) para metais.,,,,,
8458.1,- Tornos horizontais:,,,,,
8458.11,De comando numrico,,,,,
8458.11.10,Rev≥lver,0,,,,
8458.11.9,Outros,,,,,
8458.11.91,De 6 ou mais fusos porta-peas,0,,,,
8458.11.99,Outros,0,,,,
8458.19,Outros,,,,,
8458.19.10,Rev≥lver,0,,,,
8458.19.90,Outros,0,,,,
8458.9,- Outros tornos:,,,,,
8458.91.00,De comando numrico,0,,,,
8458.99.00,Outros,0,,,,
,,,,,,
84.59,"M°quinas-ferramentas (incluindo as unidades com cabea deslizante) para furar,mandrilar, fresar, roscar interior ou exteriormente metais, por eliminao de matria,exceto os tornos (incluindo os centros de torneamento) da posio 84.58.",,,,,
8459.10.00, Unidades Com cabea deslizante,0,,,,
8459.2,- Outras m°quinas para furar:,,,,,
8459.21,De comando numrico,,,,,
8459.21.10,Radiais,0,,,,
8459.21.9,Outras,,,,,
8459.21.91,De mais de um cabeote mono ou multifuso,0,,,,
8459.21.99,Outras,0,,,,
8459.29.00,Outras,0,,,,
8459.3,- Outras mandriladoras-fresadoras:,,,,,
8459.31.00,De comando numrico,0,,,,
8459.39.00,Outras,0,,,,
8459.4,- Outras m°quinas para mandrilar:,,,,,
8459.41.00,De comando numrico,0,,,,
