Number,Code,Unit,Goods,Normal Tariff,Preferential Tarrif,
2206.00.43,,,For further manufacture in a licensed manufacturing area,,Free,Free
,01C,l al,Sparkling,,,
,09J,l al,Other,,,
2206.00.47,,,Other per l al,,$36.91 ,.
,01J,l al,Sparkling,,,
,09D,l al,Other,,,
,,,"Containing more than 6 % vol., but not more than 9 % vol.:",,,
2206.00.53,,,For further manufacture in a licensed manufacturing area,,Free,Free
,01J,l,Sparkling,,,
,09D,l,Other,,,
2206.00.57,,,Other per l,,$2.95 ,.
,01D,l,Sparkling,,,
,09K,l,Other,,,
,,,"Containing more than 9 % vol., but not more than 14 % vol.:",,,
2206.00.62,,,For further manufacture in a licensed manufacturing area,,Free,Free
,01H,l,Sparkling,,,
,09C,l,Other,,,
2206.00.68,,,Other per l,,$3.69 ,.
,01F,l,Sparkling,,,
,09A,l,Other,,,
,,,"Containing more than 14 % vol., but not more than 23 % vol.:",,,
2206.00.71,,,For further manufacture in a licensed manufacturing area,,Free,Free
,01G,l,Sparkling,,,
,09B,l,Other,,,
2206.00.78,,,Other per l al,,$67.22 ,.
,01A,l al,Sparkling,,,
,09G,l al,Other,,,
,,,Other:,,,
2206.00.81,00D,l al,For further manufacture in a licensed manufacturing area,,Free,Free
2206.00.89,00E,l al,Other per l al,,$67.22 ,.
22.07,,,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 %,,,
,,,"volor higher; ethyl alcohol and other spirits, denatured, of any",,,
,,,strength:,,,
2207.1,,,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 %,,,
,,,volor higher:,,,
,,,Rectified spirits of wine:,,,
2207.10.11,00H,l al,For manufacture in a licensed manufacturing area,Free,Free,
2207.10.19,00J,l al,Other per l al,$67.22 ,.,
,,,Other kinds:,,,
2207.10.21,00C,l al,For manufacture in a licensed manufacturing area,Free,Free,
2207.10.29,00D,l al,Other per l al,$67.22 ,.,
2207.2,,,"Ethyl alcohol and other spirits, denatured, of any strength:",,,
2207.20.01,00F,l,"Ethyl alcohol, denatured in accordance with a formula",,,
,,,approved by the Chief Executive of the New Zealand Customs Service,Free,Free,
,,,"Ethyl alcohol, denatured, to which has been blended ethyl ether, benzol",,,
,,,or approved petroleum products in such proportions as may be approved,,,
,,,by the Chief Executive of the New Zealand Customs Service and under,,,
,,,such conditions as the Chief Executive of the New Zealand Customs,,,
,,,Service may approve:,,,
2207.20.12,00H,l,For manufacture in a licensed manufacturing area,Free,Free,
,,,Other:,,,
2207.20.18,00F,l,Aviation spirit,Free,Free,
,,,Other:,,,
2207.20.23,00K,l ms,Further blended with motor spirit and that can be used as a fuel,,,
,,,for engines per l ms,70.024¢,.,
,,,,plus 8¢,,
,,,,per g of Pb1,,
2207.20.27,,,"Further blended with diesel, biodiesel, or other substances and",,,
,,,that can be used as a fuel for engines,Free,Free,
,10B,l,Further blended with automotive diesel,,,
,13G,l,Further blended with marine diesel,,,
,15C,l,Further blended with biodiesel,,,
,19F,l,Further blended with other substances,,,
2207.20.32,00J,l,Other per l,30.2¢1,.,
,,,"Ethyl alcohol, denatured, otherwise blended, that can",,,
,,,be used as a fuel for engines:,,,
2207.20.33,00E,l al,For manufacture in a licensed manufacturing area,Free,Free,
,,,Other:,,,
2207.20.35,00H,l ms,Blended with motor spirit per l ms,70.024¢,.,
,,,,plus 8¢,,
,,,,per g of Pb1,,
2207.20.37,,,Other,Free,Free,
,10H,l,Blended with automotive diesel,,,
,13B,l,Blended with marine diesel,,,
,15J,l,Blended with biodiesel,,,
,19A,l,Blended with other substances,,,
,,,Other kinds:,,,
2207.20.41,00H,l al,For manufacture in a licensed manufacturing area,Free,Free,
2207.20.49,00J,l al,Other per l al,$67.22 ,.,
22.08,,,Undenatured ethyl alcohol of an alcoholic strength by volume of less,,,
,,,"than 80 % vol.; spirits, liqueurs and other spirituous beverages:",,,
2208.2,,,Spirits obtained by distilling grape wine or grape marc:,,,
,,,The strength of which can be ascertained by OIML hydrometer:,,,
,,,Brandy:,,,
,,,Having a Customs value of less than $22.00 per litre of alcohol:,,,
2208.20.02,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,In containers of a capacity of less than 180 litres:,,,
,01J,l al,In bottles,,,
,09D,l al,Otherwise packed,,,
,19A,l al,In other containers,,,
2208.20.04,,,Other per l al,$67.22 ,.,
,,,In containers of a capacity of less than 180 litres:,,,
,01A,l al,In bottles,,,
,09G,l al,Otherwise packed,,,
,19D,l al,In other containers,,,
,,,Other:,,,
2208.20.06,,, For further manufacture in a licensed manufacturing area,Free,Free,
,,,In containers of a capacity of less than 180 litres:,,,
,01D,l al,In bottles,,,
,09K,l al,Otherwise packed,,,
,19G,l al,In other containers,,,
2208.20.08,,,Other per l al,$67.22 ,.,
,,,In containers of a capacity of less than 180 litres:,,,
,01G,l al,In bottles,,,
,09B,l al,Otherwise packed,,,
,19K,l al,In other containers,,,
,,,Other:,,,
2208.20.11,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,In containers of a capacity of less than 180 litres:,,,
,01H,l al,In bottles,,,
,09C,l al,Otherwise packed,,,
,19L,l al,In other containers,,,
2208.20.19,,,Other per l al,$67.22 ,.,
,,,In containers of a capacity of less than 180 litres:,,,
,01J,l al,In bottles,,,
,09D,l al,Otherwise packed,,,
,19A,l al,In other containers,,,
,,,Other:,,,
2208.20.21,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,Not exceeding 57 % vol.:,,,
,01C,l al,In containers of a capacity of less than 180 litres,,,
,09J,l al,In other containers,,,
,,,Other:,,,
,11L,l al,In containers of a capacity of less than 180 litres,,,
,19F,l al,In other containers,,,
2208.20.29,,,Other per l al,$67.22 ,.,
,,,Not exceeding 57 % vol.:,,,
,01D,l al,In containers of a capacity of less than 180 litres,,,
,09K,l al,In other containers,,,
,,,Other:,,,
,11A,l al,In containers of a capacity of less than 180 litres,,,
,19G,l al,In other containers,,,
2208.3,,,Whiskies:,,,
,,,The strength of which can be ascertained by OIML hydrometer:,,,
,,,Having a Customs value of less than $22.00 per litre of alcohol:,,,
2208.30.02,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,In containers of a capacity of less than 180 litres:,,,
,01B,l al,In bottles,,,
,09H,l al,Otherwise packed,,,
,19E,l al,In other containers,,,
,,,"Undenatured ethyl alcohol of an alcoholic strength, etc.continued",,,
,,,Whiskiescontinued,,,
,,,"The strength of which can be ascertained by, etc.continued",,,
,,,"Having a Customs value of less than $22.00 per, etc.continued",,,
2208.30.04,,,Other per l al,$67.22 ,.,
,,,In containers of a capacity of less than 180 litres:,,,
,01E,l al,In bottles,,,
,09L,l al,Otherwise packed,,,
,19H,l al,In other containers,,,
,,,Other:,,,
2208.30.06,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,In containers of a capacity of less than 180 litres:,,,
,01H,l al,In bottles,,,
,09C,l al,Otherwise packed,,,
,19L,l al,In other containers,,,
2208.30.08,,,Other per l al,$67.22 ,.,
,,,In containers of a capacity of less than 180 litres:,,,
,01L,l al,In bottles,,,
,09F,l al,Otherwise packed,,,
,19C,l al,In other containers,,,
,,,Other:,,,
2208.30.11,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,Not exceeding 57 % vol.:,,,
,01A,l al,In containers of a capacity of less than 180 litres,,,
,09G,l al,In other containers,,,
,,,Other:,,,
,11J,l al,In containers of a capacity of less than 180 litres,,,
,19D,l al,In other containers,,,
2208.30.19,,,Other per l al,$67.22 ,.,
,,,Not exceeding 57 % vol.:,,,
,01B,l al,In containers of a capacity of less than 180 litres,,,
,09H,l al,In other containers,,,
,,,Other:,,,
,11K,l al,In containers of a capacity of less than 180 litres,,,
,19E,l al,In other containers,,,
2208.4,,,Rum and other spirits obtained by distilling fermented sugar cane,,,
,,,products:,,,
,,,The strength of which can be ascertained by OIML hydrometer:,,,
,,,Having a Customs value of less than $22.00 per litre of alcohol:,,,
2208.40.02,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,In containers of a capacity of less than 180 litres:,,,
,01F,l al,In bottles,,,
,09A,l al,Otherwise packed,,,
,19J,l al,In other containers,,,
2208.40.04,,, Other per l al,$67.22 ,.,
,,,In containers of a capacity of less than 180 litres:,,,
,01J,l al,In bottles,,,
,09D,l al,Otherwise packed,,,
,19A,l al,In other containers,,,
,,,Other:,,,
2208.40.06,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,In containers of a capacity of less than 180 litres:,,,
,01A,l al,In bottles,,,
,09G,l al,Otherwise packed,,,
,19D,l al,In other containers,,,
2208.40.08,,,Other per l al,$67.22 ,.,
,,,In containers of a capacity of less than 180 litres:,,,
,01D,l al,In bottles,,,
,09K,l al,Otherwise packed,,,
,19G,l al,In other containers,,,
,,,Other:,,,
2208.40.11,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,Not exceeding 57 % vol.:,,,
,01E,l al,In containers of a capacity of less than 180 litres,,,
,09L,l al,In other containers,,,
,,,Other:,,,
,11B,l al,In containers of a capacity of less than 180 litres,,,
,19H,l al,In other containers,,,
,,,"Undenatured ethyl alcohol of an alcoholic strength, etc.continued",,,
,,,"Rum and other spirits obtained by distilling fermented, etc.continued",,,
,,,Othercontinued,,,
2208.40.19,,,Other per l al,$67.22 ,.,
,,,Not exceeding 57 % vol.:,,,
,01F,l al,In containers of a capacity of less than 180 litres,,,
,09A,l al,In other containers,,,
,,,Other:,,,
,11C,l al,In containers of a capacity of less than 180 litres,,,
,19J,l al,In other containers,,,
2208.5,,,Gin and Geneva:,,,
,,,The strength of which can be ascertained by OIML hydrometer:,,,
,,,Having a Customs value of less than $22.00 per litre of alcohol:,,,
2208.50.02,,,For further manufacture in a licensed manufacturing area,5,Free,
,,,,,*See Below,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,01K,l al,In bottles,,,
,09E,l al,Otherwise packed,,,
2208.50.04,,,Other per l al,5,Free,
,,,,plus $67.2201,*See Below,
,,,,,plus $67.2201,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,,,plus $67.2201,
,01B,l al,In bottles,,,
,09H,l al,Otherwise packed,,,
,,,Other:,,,
2208.50.06,,,For further manufacture in a licensed manufacturing area per l al,50¢,Free,
,,,,,*See Below,
,,,,,RCEP $0.4/L al.,
,,,,,1/2025 $0.4/L al.,
,01E,l al,In bottles,,,
,09L,l al,Otherwise packed,,,
2208.50.08,,,Other per l al,50¢,Free,
,,,,plus $67.2201,*See Below,
,,,,,plus $67.2201,
,01H,l al,In bottles,,,
,09C,l al,Otherwise packed,,,
,,,Other:,,,
2208.50.11,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,Not exceeding 57 % vol.:,,,
,01J,l al,In containers of a capacity of less than 180 litres,,,
,09D,l al,In other containers,,,
,,,Other:,,,
,11F,l al,In containers of a capacity of less than 180 litres,,,
,19A,l al,In other containers,,,
2208.50.19,,,Other  per l al,$67.22 ,.,
,,,Not exceeding 57 % vol.:,,,
,01K,l al,In containers of a capacity of less than 180 litres,,,
,09E,l al,In other containers,,,
,,,Other:,,,
,11G,l al,In containers of a capacity of less than 180 litres,,,
,19B,l al,In other containers,,,
2208.6,,,Vodka,,,
,,,The strength of which can be ascertained by OIML hydrometer:,,,
,,,Having a Customs value of less than $22.00 per litre of alcohol:,,,
2208.60.11,,,For further manufacture in a licensed manufacturing area,5,Free,
,,,,,*See Below,
,,,,,CA 4,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01B,l al,In bottles,,,
,09H,l al,Otherwise packed,,,
,,,"Undenatured ethyl alcohol of an alcoholic strength, etc.continued",,,
,,,Vodkacontinued,,,
,,,"The strength of which can be ascertained by OIML, etc.continued",,,
,,,"Having a Customs value of less than $22.00 per, etc.continued",,,
2208.60.19,,, Other per l al,5,Free,
,,,,plus $67.2201,*See Below,
,,,,,plus $67.2201,
,,,,,CA 4,
,,,,,plus $67.2201,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,,,plus $67.2201,
,01C,l al,In bottles,,,
,09J,l al,Otherwise packed,,,
,,,Other:,,,
2208.60.21,,,For further manufacture in a licensed manufacturing area  per l al,50¢,Free,
,,,,,*See Below,
,,,,,CA 47¢,
,,,,,RCEP $0.4/L al.,
,,,,,1/2025 $0.4/L al.,
,01H,l al,In bottles,,,
,09C,l al,Otherwise packed,,,
2208.60.29,,,Other per l al,50¢,Free,
,,,,plus $67.2201,*See Below,
,,,,,plus $67.2201,
,,,,,CA 47¢,
,,,,,plus $67.2201,
,,,,,RCEP $0.4/L al.,
,,,,,1/2025 $0.3/L al.,
,,,,,plus $67.2201,
,01J,l al,In bottles,,,
,09D,l al,Otherwise packed,,,
,,,Other:,,,
2208.60.91,,,For further manufacture in a licensed manufacturing area,Free,Free,
,,,Not exceeding 57 % vol.:,,,
,01F,l al,In containers of a capacity of less than 180 litres,,,
,09A,l al,In other containers,,,
,,,Other:,,,
,11C,l al,In containers of a capacity of less than 180 litres,,,
,19J,l al,In other containers,,,
2208.60.99,,,Other per l al,$67.22 ,.,
,,,Not exceeding 57 % vol.:,,,
,01G,l al,In containers of a capacity of less than 180 litres,,,
,09B,l al,In other containers,,,
,,,Other:,,,
,11D,l al,In containers of a capacity of less than 180 litres,,,
,19K,l al,In other containers,,,
2208.7,,,Liqueurs and cordials:,,,
2208.70.10,00A,l,For further manufacture in a licensed manufacturing area,5,Free,
,,,,,*See Below,
,,,,,LDC 2,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,Other:,,,
2208.70.20,00G,l,Containing not more than 1.15 % vol.,Free,Free,
2208.70.30,00B,l,"Containing more than 1.15 % vol., but not more than 2.5 % volper l",55.351¢1,.,
2208.70.40,00H,l al,"Containing more than 2.5 % vol., but not more than 6 % volper l al",$36.91 ,.,
2208.70.50,00C,l,"Containing more than 6 % vol., but not more than 9 % volper l",$2.95 ,.,
2208.70.60,00J,l,"Containing more than 9 % vol., but not more than 14 % volper l",5,Free,
,,,,plus $3.69051,*See Below,
,,,,,plus $3.69051,
,,,,,LDC 4,
,,,,,plus $3.69051,
2208.70.71,00L,l al,"Containing more than 14 % vol., but not more than 23 % volper l al",5,Free,
,,,,plus $67.2201,*See Below,
,,,,,plus $67.2201,
,,,,,LDC 4,
,,,,,plus $67.2201,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
,,,,,plus $67.2201,
,,,"Undenatured ethyl alcohol of an alcoholic strength, etc.continued",,,
,,,Liqueurs and cordialscontinued,,,
,,,Othercontinued,,,
2208.70.80,,,Other per l al,$67.22 ,.,
,01H,l al,"Containing more than 23 % vol., but not more than 57 % vol.",,,
,09C,l al,Other,,,
2208.9,,,Other:,,,
,,,Bitters:,,,
2208.90.02,00F,l,For further manufacture in a licensed manufacturing area,Free,Free,
,,,Other:,,,
2208.90.06,00A,l al,Containing not more than 23 % volper l al,$67.22 ,.,
2208.90.08,00D,l al,Other per l al,$67.22 ,.,
,,,Spirits and spirituous beverages the strength of which can be,,,
,,,ascertained by OIML hydrometer:,,,
2208.90.42,,,For further manufacture in a licensed manufacturing area,Free,Free,
,10E,l al,In bottles,,,
,15F,l al,Otherwise packed,,,
2208.90.48,,,Other per l al,$67.22 ,.,
,10C,l al,In bottles,,,
,15D,l al,Otherwise packed,,,
,,,Other:,,,
2208.90.53,00K,l al,For further manufacture in a licensed manufacturing area,Free,Free,
,,,Other:,,,
2208.90.58,,,Containing not more than 1.15 % vol.,Free,Free,
,,,Spirituous beverages containing spirits obtained by,,,
,,,distilling grape wine or grape marc:,,,
,10J,l,Containing brandy,,,
,15K,l,Other,,,
,20F,l,Spirituous beverages containing whisky (whiskey),,,
,25G,l,Spirituous beverages containing rum,,,
,30C,l,Spirituous beverages containing gin,,,
,35D,l,Spirituous beverages containing vodka,,,
,39G,l,Other,,,
2208.90.62,,,"Containing more than 1.15 % vol., but not more than 2.5 % volp er l",55.351¢1,.,
,,,Spirituous beverages containing spirits,,,
,,,obtained by distilling grape wine or grape marc:,,,
,10F,l,Containing brandy,,,
,15G,l,Other,,,
,20C,l,Spirituous beverages containing whisky (whiskey),,,
,25D,l,Spirituous beverages containing rum,,,
,30L,l,Spirituous beverages containing gin,,,
,35A,l,Spirituous beverages containing vodka,,,
,39D,l,Other,,,
2208.90.68,,,"Containing more than 2.5 % vol., but not more than 6 % volper l al",$36.91 ,.,
,,,Spirituous beverages containing spirits obtained by,,,
,,,distilling grape wine or grape marc:,,,
,10D,l al,Containing brandy,,,
,15E,l al,Other,,,
,20A,l al,Spirituous beverages containing whisky (whiskey),,,
,25B,l al,Spirituous beverages containing rum,,,
,30J,l al,Spirituous beverages containing gin,,,
,35K,l al,Spirituous beverages containing vodka,,,
,39B,l al,Other,,,
2208.90.72,,,"Containing more than 6 % vol., but not more than 9 % volper l",$2.95 ,.,
,,,Spirituous beverages containing spirits obtained by,,,
,,,distilling grape wine or grape marc:,,,
,10A,l,Containing brandy,,,
,15B,l,Other,,,
,20J,l,Spirituous beverages containing whisky (whiskey),,,
,25K,l,Spirituous beverages containing rum,,,
,30F,l,Spirituous beverages containing gin,,,
,35G,l,Spirituous beverages containing vodka,,,
,39K,l,Other,,,
,,,"Undenatured ethyl alcohol of an alcoholic strength, etc.continued",,,
,,,Othercontinued,,,
,,,Othercontinued,,,
,,,Othercontinued,,,
2208.90.78,,,"Containing more than 9 % vol., but not more than 14 % volper l",$3.69 ,.,
,,,Spirituous beverages containing spirits obtained by,,,
,,,distilling grape wine or grape marc:,,,
,10K,l,Containing brandy,,,
,15L,l,Other,,,
,20G,l,Spirituous beverages containing whisky (whiskey),,,
,25H,l,Spirituous beverages containing rum,,,
,30D,l,Spirituous beverages containing gin,,,
,35E,l,Spirituous beverages containing vodka,,,
,39H,l,Other,,,
2208.90.85,,,"Containing more than 14 % vol., but not more than 23 % volp er l al",$67.22 ,.,
,,,Spirituous beverages containing spirits obtained by,,,
,,,distilling grape wine or grape marc:,,,
,10F,l al,Containing brandy,,,
,15G,l al,Other,,,
,20C,l al,Spirituous beverages containing whisky (whiskey),,,
,25D,l al,Spirituous beverages containing rum,,,
,30L,l al,Spirituous beverages containing gin,,,
,35A,l al,Spirituous beverages containing vodka,,,
,39D,l al,Other,,,
2208.90.97,,,Other per l al,$67.22 ,.,
,,,Spirituous beverages containing spirits obtained by,,,
,,,distilling grape wine or grape marc:,,,
,,,Containing brandy:,,,
,10D,l al,In bottles,,,
,15E,l al,Otherwise packed,,,
,,,Other:,,,
,17A,l al,In bottles,,,
,19H,l al,Otherwise packed,,,
,,,Spirituous beverages containing whisky (whiskey):,,,
,20A,l al,In bottles,,,
,25B,l al,Otherwise packed,,,
,,,Spirituous beverages containing rum:,,,
,30J,l al,In bottles,,,
,35K,l al,Otherwise packed,,,
,,,Spirituous beverages containing gin:,,,
,40F,l al,In bottles,,,
,45G,l al,Otherwise packed,,,
,,,Spirituous beverages containing vodka:,,,
,50C,l al,In bottles,,,
,55D,l al,Otherwise packed,,,
,,,Other:,,,
,60L,l al,In bottles,,,
,65A,l al,Otherwise packed,,,
22.09,,,,,,
2209.00.00,00J,l,Vinegar and substitutes for vinegar obtained from acetic acid,Free,Free,
23.01,,,"Flours, meals and pellets, of meat or meat offal, of fish or of",,,
,,,"crustaceans, molluscs or other aquatic invertebrates, unfit for human",,,
,,,consumption; greaves:,,,
2301.10.00,,,"Flours, meals and pellets, of meat or meat offal; greaves",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,Meals:,,,
,01A,kg,Liver meal,,,
,09G,kg,Meat meal,,,
,19D,kg,Other,,,
,21F,kg,Flours,,,
,29A,kg,Greaves,,,
2301.20.00,,,"Flours, meals and pellets, of fish or of crustaceans, molluscs or other",,,
,,,aquatic invertebrates,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,01E,kg,Fish meal,,,
,09L,kg,Other,,,
23.02,,,"Bran, sharps and other residues, whether or not in the form of pellets,",,,
,,,"derived from the sifting, milling or other working of cereals or of",,,
,,,leguminous plants:,,,
2302.10.00,00A,kg,Of maize (corn),Free,Free,
2302.30.00,00J,kg,Of wheat,Free,Free,
2302.40.00,,kg,Of other cereals,Free,Free,
,10K,kg,Rice,,,
,13D,kg,Other,,,
2302.50.00,00F,kg,Of leguminous plants,Free,Free,
23.03,,,"Residues of starch manufacture and similar residues, beet-pulp,",,,
,,,"bagasse and other waste of sugar manufacture, brewing or distilling",,,
,,,"dregs and waste, whether or not in the form of pellets:",,,
2303.10.00,00K,.,Residues of starch manufacture and similar residues,Free,Free,
2303.20.00,00C,.,"Beet-pulp, bagasse and other waste of sugar manufacture",Free,Free,
2303.30.00,00G,.,Brewing or distilling dregs and waste,Free,Free,
23.04,,,,,,
2304.00.00,00D,kg,"Oil-cake and other solid residues, whether or not ground or in the",,,
,,,"form of pellets, resulting from the extraction of soya-bean oil",Free,Free,
23.05,,,,,,
2305.00.00,00B,kg,"Oil-cake and other solid residues, whether or not ground or in the",,,
,,,"form of pellets, resulting from the extraction of ground-nut oil",Free,Free,
23.06,,,"Oil-cake and other solid residues, whether or not ground or in the",,,
,,,"form of pellets, resulting from the extraction of vegetable or microbial",,,
,,,"fats or oils, other than those of heading 23.04 or 23.05:",,,
2306.10.00,00D,kg,Of cotton seeds,Free,Free,
2306.20.00,00H,kg,Of linseed,Free,Free,
2306.30.00,00A,kg,Of sunflower seeds,Free,Free,
,,,Of rape or colza seeds:,,,
2306.41.00,00K,kg,Of low erucic acid rape or colza seeds,Free,Free,
2306.49.00,00F,kg,Other,Free,Free,
2306.50.00,00J,kg,Of coconut or copra,Free,Free,
2306.60.00,00B,kg,Of palm nuts or kernels,Free,Free,
2306.90.00,,kg,Other,Free,Free,
,10L,kg,Of maize (corn) germ,,,
,13E,kg,Other,,,
23.07,,,,,,
2307.00.00,00J,.,Wine lees; argol,Free,Free,
23.08,,,,,,
2308.00.00,,,"Vegetable materials and vegetable waste, vegetable residues and",,,
,,,"by-products, whether or not in the form of pellets, of a kind used in",,,
,,,"animal feeding, not elsewhere specified or included",5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,11B,.,Acorns and horse-chestnuts,,,
,19H,.,Other,,,
23.09,,,Preparations of a kind used in animal feeding:,,,
2309.1,,,"Dog or cat food, put up for retail sale:",,,
2309.10.01,,,Dog biscuits and similar biscuits,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,01C,kg,For dogs,,,
,09J,kg,For cats,,,
2309.10.09,,,Prepared cat or dog food in airtight containers,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 3.5,
,,,,,1/2025 3,
,,,For cats:,,,
,11A,kg,Mainly of meat waste,,,
,21J,kg,Mainly of fish waste,,,
,29D,kg,Other,,,
,,,For dogs:,,,
,31F,kg,Mainly of meat waste,,,
,41C,kg,Mainly of fish waste,,,
,49J,kg,Other,,,
2309.10.19,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,For cats:,,,
,11G,kg,"Mainly of meat or offal, fresh, chilled or frozen",,,
,21D,kg,Dried products,,,
,29K,kg,Other,,,
,,,For dogs:,,,
,31A,kg,"Mainly of meat or offal, fresh, chilled or frozen",,,
,41J,kg,Dried products,,,
,49D,kg,Other,,,
2309.9,,,Other:,,,
2309.90.01,,,Dog biscuits and similar biscuits,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 5,
,,,,,1/2025 5,
,01B,kg,For dogs,,,
,11K,kg,For cats,,,
,19E,kg,Other,,,
2309.90.09,00E,kg,Sheep and cattle licks,Free,Free,
2309.90.19,,,Other,5,Free,
,,,,,*See Below,
,,,,,CA Free,
,01J,kg,Poultry mash,,,
,09D,kg,Poultry pellets,,,
,11F,kg,Sweetened forage,,,
,19A,kg,Other,,,
24.01,,,Unmanufactured tobacco; tobacco refuse:,,,
2401.1,,,"Tobacco, not stemmed/stripped:",,,
,,,For manufacture in a licensed manufacturing area into:,,,
2401.10.01,,,Cigars Free,,Free,
,01D,kg,"Flue cured, Virginia type",,,
,09K,kg,Other,,,
2401.10.09,,,"Tobacco, cigarettes, snuff Free",,Free,
,02C,kg,"Flue cured, Virginia type",,,
,08B,kg,Other,,,
2401.10.19,,,For other purposes Free,,Free,
,01L,kg,"Flue cured, Virginia type",,,
,09F,kg,Other,,,
2401.2,,,"Tobacco, partly or wholly stemmed/stripped:",,,
,,,For manufacture in a licensed manufacturing area into:,,,
2401.20.01,,,Cigars Free,,Free,
,01H,kg,"Flue cured, Virginia type",,,
,09C,kg,Other,,,
2401.20.09,,,"Tobacco, cigarettes, snuff Free",,Free,
,02G,kg,"Flue cured, Virginia type",,,
,08F,kg,Other,,,
2401.20.19,,,For other purposes Free,,Free,
,01D,kg,"Flue cured, Virginia type",,,
,09K,kg,Other,,,
2401.3,,,Tobacco refuse:,,,
,,,For manufacture in a licensed manufacturing area into:,,,
2401.30.01,00C,kg,Cigars Free,,Free,
2401.30.09,00D,kg,"Tobacco, cigarettes, snuff Free",,Free,
2401.30.19,00K,kg,For other purposes Free,,Free,
24.02,,,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco",,,
,,,substitutes:,,,
2402.10.00,,,"Cigars, cheroots and cigarillos, containing tobacco  per KTC $1,589.961",,.,
,02D,KTC,Weighing less than 500 g per 100,,,
,08C,KTC,Other,,,
2402.2,,,Cigarettes containing tobacco:,,,
2402.20.10,00G,KTC,Exceeding in weight 0.8 kg actual tobacco content per KTC 5,,Free,
,,,"per 1,000 cigarettes  plus $1,812.611",,*See Below,
,,,,,"plus $1,812.611",
,,,,,CA Free,
,,,,,"plus $1,812.611",
,,,,,LDC 4,
,,,,,"plus $1,812.611",
2402.20.90,00L,Th,"Not exceeding in weight 0.8 kg actual per 1,000 5",,Free,
,,,"tobacco content per 1,000 cigarettes  plus $1,272.011",,*See Below,
,,,,,"plus $1,272.011",
,,,,,CA Free,
,,,,,"plus $1,272.011",
,,,,,LDC 4,
,,,,,"plus $1,272.011",
2402.9,,,Other:,,,
2402.90.01,,,"Cigars, cheroots and cigarillos, of tobacco substitutes Free",,Free,
,01A,kg,Weighing less than 500 g per 100,,,
,09G,kg,Other,,,
,,,Cigarettes of tobacco substitutes:,,,
2402.90.12,00E,kg,"Exceeding in weight 1.1 kg per 1,000 Free",,Free,
2402.90.18,00C,Th,"Not exceeding in weight 1.1 kg per 1,000 Free",,Free,
24.03,,,Other manufactured tobacco and manufactured tobacco substitutes;,,,
,,,ÄúhomogenisedÄù or ÄúreconstitutedÄù tobacco; tobacco extracts and,,,
,,,essences:,,,
,,," Smoking tobacco, whether or not containing tobacco substitutes in",,,
,,,any proportion:,,,
2403.11,,,Water pipe tobacco specified in Subheading Note 1 to this Chapter:,,,
2403.11.10,10C,kg,For further manufacture in a licensed manufacturing area 5,,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2403.11.90,10G,kg,Other per kg 5,,Free,
,,,plus $271.891,,*See Below,
,,,,,plus $271.891,
,,,,,CA Free,
,,,,,plus $271.891,
,,,,,LDC 4,
,,,,,plus $271.891,
,,,,,RCEP 5,
,,,,,plus $271.891,
,,,,,1/2025 5,
,,,,,plus $271.891,
2403.19,,,Other:,,,
2403.19.10,00B,KTC,For further manufacture in a licensed manufacturing area 5,,Free,
,,,,,*See Below,
,,,,,CA Free,
,,,,,RCEP 4,
,,,,,1/2025 3.7,
2403.19.90,,,Other per KTC 5,,Free,
,,,"plus $1,812.611",,*See Below,
,,,,,"plus $1,812.611",
,,,,,CA Free,
,,,,,"plus $1,812.611",
,,,,,LDC 4,
,,,,,"plus $1,812.611",
,10C,KTC,Pipe,,,
